,,(04/12/00),,,Recolte : 12 mars 2001 - Analyse : mai et aout 2001,,,,,,,,,(03/09/01),,,Recolte : 4 et 5 dec 2001 - Analyse : 27 fev 2002,,,,,,,,,(04 et 05/12/01),,,Recolte : 7 mars 2002 - Analyse : 6 sept 2002,,,,,,,,,(13/09/02),,,Recolte : 18 dec 2002 - Analyse : 27 fev 2003,,,,,,,,,(18/12/02),,,Recolte : 8 mars 2003 - Analyse : 21 mai 2003,,,,,,,,,(02/09/03),,,Recolte : 1 dec 2003 - Analyse : 6 mars 2004,,,,,,,,,(01/12/03),,,Recolte : 12 mars 2004 - Analyse : 8 oct 2004,,,,,,,,,(13/10/04),,,Recolte : 4 dec 2004 - Analyse : 29 avril 2005,,,,,,,,,(04/12/04),,,Recolte : 10 mars 2005 - Analyse : 27 avril 2005,,,,,,,,,(05/09/05),,,Recolte : 5 dec 2005 - Analyse : 18 juin 2006,,,,,,,,,(05/12/05),,,Recolte : 3 mars 2006 - Analyse : 22 juin 2006,,,,,,,,,(31/08/06),,,Recolte : 9 dec 2006 - Analyse : 28 mai 2007,,,,,,,,,(09/12/06),,,Recolte : 2 avril 2007 - Analyse : 20 juillet 2007,,,,,,,,,(06/09/07),,,Recolte : 14 dec 2007 - Analyse : 24 aout 2008,,,,,,,,,(14/12/07),,,Recolte : 17 mars 2008 - Analyse : 29 aout 2008,,,,,,,,,(28/08/08),,,Recolte : 29 nov 2008 - Analyse : PB,,,,,,,,,(29/11/08),,,Recolte : 7 mars 2009 - Analyse : PB,,,,,,,,,(23/08/09),,,Recolte : 5 dec 2009 - Analyse : PB,,,,,,,,,(05/12/09),,,Recolte : 10 mars 2010 - Analyse : PB,,,,,,,,,(28/08/10),,,Recolte : 2 dec 2010 - Analyse : PB,,,,,,,,,(02/12/10),,,Recolte : 9 mars 2011 - Analyse : PB,,,,,,,,,(02/08/11),,,Recolte : 7 dec 2011 - Analyse : PB,,,,,,,,,(07/12/11),,,Recolte : 28 fev 2012 - Analyse : PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platine,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.,,Plaque,Obs.,,Plaque,Obs.,,,,,,Obs.
Hx2,,22,, ,22,,,Dessus,Bords,Dessous,Total,,,122,,,122,,,Dessus,Bords,Dessous,Total,,,302,,,302,,,Dessus,Bords,Dessous,Total,,,122,,,122,,,Dessus,Bords,Dessous,Total,,,302,,,302,,,Dessus,Bords,Dessous,Total,,,302,,,302,,,Dessus,Bords,Dessous,Total,,,122,,,122,,,Dessus,Bords,Dessous,Total,,,302,,,302,,,Dessus,Bords,Dessous,Total,,,122,,,122,,,Dessus,Bords,Dessous,Total,,,302,,,302,,,Dessus,Bords,Dessous,Total,,,122,,,122,,,Dessus,Bords,Dessous,Total,,,302,,,302,,,Dessus,Bords,Dessous,Total,,,122,,,,,,Dessus,Bords,Dessous,Total,,,,,,,,,Dessus,Bords,Dessous,Total,,,x,,,x,,,Dessus,Bords,Dessous,Total,,,H2,,,H2,,,Dessus,Bords,Dessous,Total,,,122,,,122,,,Dessus,Bords,Dessous,Total,,,122,,,122,,,Dessus,Bords,Dessous,Total,,,122,,,122,,,Dessus,Bords,Dessous,Total,,,122,,,122,,,Dessus,Bords,Dessous,Total,,,122,,,122,,,Dessus,Bords,Dessous,Total,,,122,,,122,,,Dessus,Bords,Dessous,Total,,,122,,,122,,,Dessus,Bords,Dessous,Total,,,2,,,2,,,Dessus,Bords,Dessous,Total,,,2,,,2,,,Dessus,Bords,Dessous,Total,,,2,,,2,,,Dessus,Bords,Dessous,Total,
,,,,,,,Pocilloporidae,,,,0,,,,,,,,Pocilloporidae,,,,0,,,,,,,,Pocilloporidae,,1,,1,,,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,,,,, ,,, ,,,Pocilloporidae,,,,,, ,,, ,,,Pocilloporidae,1,,,1,, ,,, ,,,Pocilloporidae,,,,0,, ,,,,,,Pocilloporidae,,,1,1,, ,,,,,,Pocilloporidae,,,,0,, ,,,,,,Pocilloporidae,,2,,2,, ,,,,,,Pocilloporidae,,,,0,, ,,,,,,Pocilloporidae,,,,0,, ,,,,,,Pocilloporidae,,,,0,, ,,,,,,Pocilloporidae,,,,0,,,,,,,,Pocilloporidae,,,,0,,,,,,,,Pocilloporidae,,,,0,,,,,,,,Pocilloporidae,,,,0,
,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,,,,,,,,,Acroporidae,,,,,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,,,,,,,,Acroporidae,,,,0,
,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,,,,,,,,,Poritidae,,,,,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,,,,,,,,Poritidae,,,,0,
,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,,,,,,,,,Autres,,,,,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,,,,,,,,Autres,,,,0,
,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,,,,,,,,,Casses,,,,,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,,,,,,,,Casses,,,,0,
,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,1,0,1,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,0,0,,,,,,,,Total,,,,,,,,,,,,Total,,,,,,,,,,,,Total,1,0,0,1,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,1,1,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,2,0,2,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,0,0,,,,,,,,Total,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hx3,,23,,,23,,,Dessus,Bords,Dessous,Total,,,123,,,123,,,Dessus,Bords,Dessous,Total,,,303,,,303,,,Dessus,Bords,Dessous,Total,,,123,,,123,,,Dessus,Bords,Dessous,Total,,,303,,,303,,,Dessus,Bords,Dessous,Total,,,303,,,303,,,Dessus,Bords,Dessous,Total,,,123,,,123,,,Dessus,Bords,Dessous,Total,,,303,,,303,,,Dessus,Bords,Dessous,Total,,,123,,,123,,,Dessus,Bords,Dessous,Total,,,303,,,,,,Dessus,Bords,Dessous,Total,,,123,,,123,,,Dessus,Bords,Dessous,Total,,,303,,,303,,,Dessus,Bords,Dessous,Total,,,123,,,,,,Dessus,Bords,Dessous,Total,,,303,,,303,,,Dessus,Bords,Dessous,Total,,,x,,,x,,,Dessus,Bords,Dessous,Total,,,H3,,,H3,,,Dessus,Bords,Dessous,Total,,,123,,,123,,,Dessus,Bords,Dessous,Total,,,123,,,123,,,Dessus,Bords,Dessous,Total,,,123,,,123,,,Dessus,Bords,Dessous,Total,,,123,,,123,,,Dessus,Bords,Dessous,Total,,,123,,,123,,,Dessus,Bords,Dessous,Total,,,123,,,123,,,Dessus,Bords,Dessous,Total,,,123,,,123,,,Dessus,Bords,Dessous,Total,,,3,,,3,,,Dessus,Bords,Dessous,Total,,,3,,,3,,,Dessus,Bords,Dessous,Total,,,3,,,3,,,Dessus,Bords,Dessous,Total,
,,,,,,,Pocilloporidae,,,,0,,,,,,,,Pocilloporidae,,,,0,,,,,,,,Pocilloporidae,,1,,1,Colonisation Pocillo, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,1,,1,, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,,,,, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,,,,, ,,, ,,,Pocilloporidae,,,,0,, ,,, ,,,Pocilloporidae,,7,1,8,, ,,, ,,,Pocilloporidae,,,,0,, ,,,,,,Pocilloporidae,,,,0,, ,,,,,,Pocilloporidae,,,,0,, ,,,,,,Pocilloporidae,,,,0,, ,,,,,,Pocilloporidae,,,,0,, ,,,,,,Pocilloporidae,,,1,1,, ,,,,,,Pocilloporidae,,,,0,, ,,,,,,Pocilloporidae,1,,,1,,,,,,,,Pocilloporidae,,,,0,,,,,,,,Pocilloporidae,1,,,1,,,,,,,,Pocilloporidae,,,,0,
